"date","amount"
2017-11-23,32.8
2017-11-23,71.4
2017-11-23,11.5
2017-11-23,7.44
2017-11-23,11.35
2017-11-22,36.95
2017-11-22,14.09
2017-11-22,1.29
2017-11-22,4.9
2017-11-21,7
2017-11-21,43.91
2017-11-21,5.94
2017-11-20,40
2017-11-20,10
2017-11-20,10
2017-11-20,6.8
2017-11-17,9
2017-11-17,10
2017-11-16,10
2017-11-16,40
2017-11-16,25
2017-11-15,10
2017-11-14,13.23
2017-11-14,105.74
2017-11-13,6.53
2017-11-13,2.47
2017-11-13,35.7
2017-11-13,3.35
2017-11-10,450
2017-11-10,4
2017-11-09,5.5
2017-11-09,4.59
2017-11-09,2.3
2017-11-08,7
2017-11-08,34.2
2017-11-08,14.8
2017-11-07,64.57
2017-11-06,12.4
2017-11-06,195.25
2017-11-06,33.12
2017-11-03,5.5
2017-11-03,30.47
2017-11-02,7.4
2017-11-02,34
2017-11-02,49
2017-11-02,15
2017-11-02,25
2017-11-01,5.88
2017-10-31,7.31
2017-10-31,42.6
2017-10-31,6
2017-10-30,6.8
2017-10-30,150.49
2017-10-27,64.43
2017-10-27,14.39
2017-10-27,3.77
